# path<TAB>cap<TAB>kind<TAB>justification
cmd/build-ci.ts	520	exception	Cohesive CI build orchestration; additions should move to focused helpers.
cmd/build-with-mingw.ts	1838	legacy	Legacy MinGW build orchestration; freeze growth pending extraction.
cmd/gen-settings.ts	1796	legacy	Legacy settings generator; freeze growth while generated outputs stay excluded.
cmd/trans-dl.ts	517	exception	Translation download workflow is cohesive; additions should use separate modules.
portable/core/shenzhen_pdf_core.c	3362	legacy	Legacy shared document core, +85 lines for the dark reading theme fused into copy_pixmap_to_bitmap() and the cached per-page image rectangles behind SPDF_RENDER_PRESERVE_IMAGES (the transform itself lives in spdf_recolor.c); freeze growth pending subsystem extraction.
portable/core/spdf_yaml.c	1147	legacy	Shared strict-YAML-subset state codec (parser + emitter + JSON bridge + flock-guarded migration) serving both frontends, +17 lines for mtime-aware re-migration when a pre-YAML build wrote newer JSON; freeze growth pending parse/emit split.
portable/linux/gtk4/spdf_annot.c	1301	legacy	Legacy GTK annotation controller; freeze growth pending extraction.
portable/linux/gtk4/spdf_app.c	726	exception	GTK application lifecycle is cohesive and platform-specific.
portable/linux/gtk4/spdf_docview.c	1793	legacy	Legacy GTK document view hot path; freeze growth pending extraction.
portable/linux/gtk4/spdf_docview_internal.h	512	exception	Existing private document-view state contract; new state belongs in focused owners.
portable/linux/gtk4/spdf_minimap.c	1095	legacy	Legacy GTK minimap component; freeze growth pending layout/input split.
portable/linux/gtk4/spdf_minimap_internal.h	549	exception	Existing private minimap contract; new state belongs in focused owners.
portable/linux/gtk4/spdf_ocr.c	707	exception	Cohesive GTK OCR workflow with platform integration.
portable/linux/gtk4/spdf_palette.c	1267	legacy	Legacy GTK command palette; freeze growth pending model/view split.
portable/linux/gtk4/spdf_search.c	1258	legacy	Legacy GTK search controller; freeze growth pending worker/view split.
portable/linux/gtk4/spdf_sidebar.c	1246	legacy	Legacy GTK sidebar controller; freeze growth pending section extraction.
portable/linux/gtk4/spdf_state.c	1831	legacy	Legacy GTK persistence and session state; +45 lines for the YAML state-file boundary (shared codec conversion + legacy JSON auto-migration), freeze growth pending storage split.
portable/linux/gtk4/spdf_toolchain.c	725	exception	Cohesive Linux toolchain discovery and package-manager integration.
portable/linux/gtk4/spdf_translate.c	1631	legacy	Legacy GTK translation workflow; freeze growth pending service/UI split.
portable/linux/gtk4/spdf_updater.c	2369	legacy	Legacy signed updater; freeze growth pending trust/transport/UI split.
portable/linux/gtk4/spdf_watcher.c	674	exception	Cohesive Linux file-watcher implementation; reload policy lives in spdf_watcher_logic.
portable/linux/gtk4/spdf_window.c	1357	legacy	Legacy GTK window shell; freeze growth pending action/menu extraction.
portable/linux/gtk4/tests/spdf_state_test.c	997	exception	Cohesive persistence regression suite; +11 lines for the YAML boundary/migration coverage; new scenarios should use focused fixtures.
portable/mac/SPDFMacDelegatePrivate.h	642	exception	Existing private coordinator state contract; +3 lines for the YAML state-file migration hook, +6 lines for the persisted Markdown reading theme and its toolbar toggle button, +16 lines for widening that theme to every document (the preserve-images setting plus the single-page render declaration Copy Page Image needs to ask for original colors); new state belongs in focused modules. +15 lines for the SPDFMacLinkNavigation category (instant reversible in-document link following) and the scrollToPage:alignTop: declaration it reuses.
portable/mac/SPDFMacDocumentView.mm	947	exception	Cohesive AppKit document input and view implementation; rendering primitives live in SPDFMacPageRendering, exact-viewport fit insets in SPDFMacFitGeometry, reading-theme gutter/page-border chrome in SPDFMacDocumentViewTheme. +55 lines for instant in-document link activation on mouse-up and the one-click-run undo snapshot that keeps multi-click word/block selection over link text working.
portable/mac/SPDFMacInactiveZoom.mm	531	exception	Cohesive out-of-focus zoom subsystem lifted out of SPDFMacUIHelpers.mm: the HID event tap, its NSEvent-monitor fallback, and the routing of a tapped pinch or Cmd/Ctrl wheel to the view under the cursor. Policy decisions stay pure in SPDFMacWindowChrome.
portable/mac/SPDFMacMinimapView.mm	1004	legacy	Legacy AppKit minimap component; freeze growth pending layout/input split; -10 lines moving the strip's reading-theme chrome (gutter, paper fill, page border, placeholder tint) to SPDFMacMinimapViewTheme.mm.
portable/mac/SPDFMacPropertiesPanel.mm	555	exception	Cohesive AppKit document-properties panel.
portable/mac/SPDFMacTabStripView.mm	1119	legacy	Legacy AppKit tab strip, -4 lines now the per-tab fill/outline decision lives in SPDFMacTabStripStyle.{h,mm}; freeze growth pending layout/input split.
portable/mac/SPDFMacUIHelpers.mm	744	exception	Mixed AppKit helper views, down from a 1332-line legacy cap: the out-of-focus zoom subsystem moved wholesale to SPDFMacInactiveZoom.mm, then the two custom-drawn toolbar buttons to SPDFMacToolbarButtons.mm. Still mixed, so further additions belong in a focused file, not here.
portable/mac/SPDFUpdater.mm	1576	legacy	Legacy signed updater, -5 lines after the pure download bounds moved to SPDFUpdaterDownloadBounds.mm, -7 lines routing the support-directory lookup through spdf_mac_support_directory() (SPDFMacSupport.mm) so SPDF_STATE_DIR redirects it; freeze growth pending trust/transport/UI split.
